,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
147,2018,15018.6824011943,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
148,2019,15358.0894882281,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
149,2020,14834.1937022808,NY.GDP.PCAP.PP.CD,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
150,2015,62540.6252209261,NY.GDP.PCAP.PP.CD,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
151,2016,56297.2267116989,NY.GDP.PCAP.PP.CD,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
152,2017,60994.5315563275,NY.GDP.PCAP.PP.CD,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
153,2018,61831.8888466878,NY.GDP.PCAP.PP.CD,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
154,2019,64718.8324950002,NY.GDP.PCAP.PP.CD,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
155,2020,65607.350749438,NY.GDP.PCAP.PP.CD,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
156,2015,18391.9274727456,NY.GDP.PCAP.PP.CD,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
157,2016,20074.3553875617,NY.GDP.PCAP.PP.CD,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
158,2017,21469.9454411605,NY.GDP.PCAP.PP.CD,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
159,2018,23016.090640831,NY.GDP.PCAP.PP.CD,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
160,2019,24497.6272661983,NY.GDP.PCAP.PP.CD,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
161,2020,24564.4376812432,NY.GDP.PCAP.PP.CD,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
162,2015,1713.5201359122,NY.GDP.PCAP.PP.CD,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
163,2016,1895.2950660337,NY.GDP.PCAP.PP.CD,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
164,2017,2044.3869867676,NY.GDP.PCAP.PP.CD,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
165,2018,2168.4087062014,NY.GDP.PCAP.PP.CD,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
166,2019,2267.32096279,NY.GDP.PCAP.PP.CD,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
167,2020,2273.8313651932,NY.GDP.PCAP.PP.CD,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
168,2015,841.5399532651,NY.GDP.PCAP.PP.CD,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
169,2016,796.9440833731,NY.GDP.PCAP.PP.CD,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
170,2017,773.572858671,NY.GDP.PCAP.PP.CD,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
171,2018,779.7170374945,NY.GDP.PCAP.PP.CD,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
172,2019,783.1577655608,NY.GDP.PCAP.PP.CD,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
173,2020,771.1012372287,NY.GDP.PCAP.PP.CD,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
174,2015,5994.4071029846,NY.GDP.PCAP.PP.CD,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
175,2016,6322.9132343941,NY.GDP.PCAP.PP.CD,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
176,2017,6643.1798918291,NY.GDP.PCAP.PP.CD,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
177,2018,7028.1714325698,NY.GDP.PCAP.PP.CD,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
178,2019,7474.510419188,NY.GDP.PCAP.PP.CD,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
179,2020,6376.1222791243,NY.GDP.PCAP.PP.CD,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
180,2015,3388.7376383038,NY.GDP.PCAP.PP.CD,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
181,2016,3675.03861981,NY.GDP.PCAP.PP.CD,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
182,2017,3928.3739336307,NY.GDP.PCAP.PP.CD,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
183,2018,4258.7052369094,NY.GDP.PCAP.PP.CD,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
184,2019,4574.0284519544,NY.GDP.PCAP.PP.CD,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
185,2020,4423.4746311988,NY.GDP.PCAP.PP.CD,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
186,2015,3395.6289607087,NY.GDP.PCAP.PP.CD,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
187,2016,3527.1653716469,NY.GDP.PCAP.PP.CD,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
188,2017,3665.1178508488,NY.GDP.PCAP.PP.CD,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
189,2018,3800.5269504148,NY.GDP.PCAP.PP.CD,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
190,2019,3900.8225146875,NY.GDP.PCAP.PP.CD,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
191,2020,3867.2038082584,NY.GDP.PCAP.PP.CD,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
192,2015,44670.0805385838,NY.GDP.PCAP.PP.CD,CAN,Canada,North America,High income,Not classified
193,2016,46472.3402486315,NY.GDP.PCAP.PP.CD,CAN,Canada,North America,High income,Not classified
194,2017,48317.1745835151,NY.GDP.PCAP.PP.CD,CAN,Canada,North America,High income,Not classified
195,2018,49992.7622757708,NY.GDP.PCAP.PP.CD,CAN,Canada,North America,High income,Not classified
196,2019,49299.21177121,NY.GDP.PCAP.PP.CD,CAN,Canada,North America,High income,Not classified
197,2020,46572.1374328364,NY.GDP.PCAP.PP.CD,CAN,Canada,North America,High income,Not classified
198,2015,64233.5342884867,NY.GDP.PCAP.PP.CD,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
199,2016,66639.5505542788,NY.GDP.PCAP.PP.CD,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
200,2017,69753.0895617267,NY.GDP.PCAP.PP.CD,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
201,2018,73550.4179658586,NY.GDP.PCAP.PP.CD,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
202,2019,76836.4989605336,NY.GDP.PCAP.PP.CD,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
203,2020,72481.0138555976,NY.GDP.PCAP.PP.CD,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
204,2015,787.0129064846,NY.GDP.PCAP.PP.CD,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
205,2016,851.0726713064,NY.GDP.PCAP.PP.CD,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
206,2017,912.803045335,NY.GDP.PCAP.PP.CD,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
207,2018,955.402048968,NY.GDP.PCAP.PP.CD,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
208,2019,985.9877165658,NY.GDP.PCAP.PP.CD,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
209,2020,989.2187436661,NY.GDP.PCAP.PP.CD,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
210,2015,1820.0599087617,NY.GDP.PCAP.PP.CD,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
211,2016,1664.5125859939,NY.GDP.PCAP.PP.CD,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
212,2017,1587.0323278473,NY.GDP.PCAP.PP.CD,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
213,2018,1613.9795977972,NY.GDP.PCAP.PP.CD,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
214,2019,1646.2935727045,NY.GDP.PCAP.PP.CD,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
215,2020,1591.6699526472,NY.GDP.PCAP.PP.CD,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
216,2015,22566.1776486786,NY.GDP.PCAP.PP.CD,CHL,Chile,Latin America & Caribbean ,High income,IBRD
217,2016,23330.7711137534,NY.GDP.PCAP.PP.CD,CHL,Chile,Latin America & Caribbean ,High income,IBRD
218,2017,24411.5447695103,NY.GDP.PCAP.PP.CD,CHL,Chile,Latin America & Caribbean ,High income,IBRD
219,2018,25526.7055235622,NY.GDP.PCAP.PP.CD,CHL,Chile,Latin America & Caribbean ,High income,IBRD
220,2019,25322.7110553656,NY.GDP.PCAP.PP.CD,CHL,Chile,Latin America & Caribbean ,High income,IBRD
221,2020,25089.0312965357,NY.GDP.PCAP.PP.CD,CHL,Chile,Latin America & Caribbean ,High income,IBRD
222,2015,12897.5022868592,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
223,2016,13483.3772665319,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
224,2017,14243.5326108491,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
225,2018,15495.5484221015,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
226,2019,16652.0988008531,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
